    4    6    2 1     146.600   7.905
    3    4    9 1     115.600   7.903
    4    3    6 1     905.000   7.901
    3    0   10 1     100.900   7.900
    0    0   13 1       0.000   7.889
    3    8    5 1     761.000   7.889
    2    7    9 1     237.600   7.884
    3    1   10 1      96.400   7.872
    0   12    0 1     256.400   7.872
    2    8    8 1     857.000   7.868
    0    1   13 1     283.900   7.862
    2    4   11 1     135.000   7.858
    1    4   12 1     236.400   7.855
    0   12    1 1     128.500   7.849
    4    0    7 1      46.000   7.846
    1    6   11 1     371.300   7.842
    4    1    7 1     164.000   7.819
    2    6   10 1     481.000   7.800
    3    9    3 1     275.500   7.797
    2   11    0 1     344.500   7.795
    3    2   10 1     308.800   7.791
    4    6    3 1     533.400   7.790
    2   10    5 1     211.700   7.790
    0    5   12 1      15.000   7.787
    0    2   13 1     112.600   7.781
    0   12    2 1      58.200   7.781
    2   11    1 1     258.900   7.773
    2    0   12 1     130.000   7.765
    1   10    7 1     902.100   7.764
    2    9    7 1     840.000   7.754
    3    6    8 1     667.700   7.753
    1   11    5 1     277.800   7.747
    3    7    7 1     191.700   7.746
    0    8   10 1     380.300   7.743
    4    2    7 1     398.400   7.740
    2    1   12 1     177.200   7.738
    4    5    5 1     572.200   7.723
    0    9    9 1     192.700   7.720
    1    0   13 1     291.700   7.717
    4    4    6 1     214.300   7.715
    2   11    2 1     283.700   7.706
    1   12    0 1      23.100   7.701
    1    1   13 1      86.300   7.692
    1   12    1 1     252.100   7.679
    0   11    6 1     295.700   7.673
    0   12    3 1     144.800   7.671
    0    7   11 1     408.500   7.671
    3    5    9 1     143.700   7.665
    3    3   10 1     136.100   7.662
    2    2   12 1     220.900   7.662
    0    3   13 1      20.800   7.653
    4    7    0 1     156.600   7.652
    3    8    6 1     212.900   7.644
    3    9    4 1     350.800   7.643
    4    6    4 1     687.200   7.638
    4    7    1 1     239.700   7.631
    2    5   11 1     219.000   7.624
    1    5   12 1     288.400   7.621
    1    2   13 1     121.400   7.616
    1   12    2 1     224.800   7.615
    4    3    7 1     114.000   7.613
    0   10    8 1     363.900   7.605
    2   11    3 1      79.900   7.600
    1    8   10 1     337.600   7.580
    4    7    2 1     209.800   7.568
    1    9    9 1     116.200   7.559
