    5    0   12 1   4097.5  113.3  11.774
   12    1    2 1    590.8   28.3  11.767
    7    6    6 1   2191.9   50.6  11.762
    7    2   10 1   3014.8   62.8  11.753
    4    4   11 1   2102.9   72.5  11.725
    7    7    4 1    343.4   54.7  11.720
   11    2    4 1   4552.6   87.9  11.720
    1    1   13 1   1965.5   62.9  11.718
   10    3    5 1   1349.0   39.8  11.703
    3    3   12 1   5944.8  158.6  11.701
    8    5    6 1    643.1   25.9  11.690
    7    0   11 1   1158.8   48.8  11.689
    5    3   11 1   1582.2   38.9  11.689
   11    3    0 1   3182.7   90.6  11.686
    8    6    4 1   2176.7   45.2  11.684
    2    0   13 1   6069.2  155.7  11.682
    9    3    7 1   2356.7   53.6  11.681
    9    2    8 1   3200.1   62.5  11.677
    4    2   12 1   1445.1   39.0  11.665
   11    3    1 1   2093.4   46.9  11.652
   10    4    3 1   2063.4   44.6  11.634
   12    1    3 1   1930.8   42.2  11.598
    6    2   11 1   2941.0   58.5  11.582
    9    5    4 1   2519.4   48.4  11.578
    2    1   13 1   3363.4   66.5  11.576
    5    1   12 1   2208.9   49.1  11.560
   11    3    2 1   2004.5   45.6  11.553
   11    1    6 1   2861.4   49.8  11.549
    9    4    6 1   3826.0   71.5  11.549
   11    0    7 1    680.5   48.2  11.541
    8    1   10 1   1624.2   40.9  11.540
    9    1    9 1   1845.9   42.0  11.536
    6    5    9 1   4618.9   84.3  11.536
   12    0    5 1    775.2   41.3  11.527
    3    0   13 1    708.8   43.8  11.507
    6    6    8 1    547.9   47.4  11.502
    8    7    0 1   2567.7   76.6  11.477
   13    0    0 1   2193.8   91.8  11.477
    5    5   10 1    827.8   46.4  11.471
    7    5    8 1    456.3   32.0  11.468
    7    4    9 1   3363.1   69.5  11.468
    8    7    1 1    741.0   30.6  11.445
   13    0    1 1   1279.0   68.4  11.445
   10    2    7 1    533.6   29.8  11.438
    6    4   10 1   2193.9   48.7  11.438
   11    2    5 1   2725.2   58.2  11.425
    7    7    5 1    614.8   43.5  11.425
    7    1   11 1   2096.6   47.4  11.412
    9    6    0 1   2185.2   63.0  11.409
   10    4    4 1   3835.4   75.8  11.407
    2    2   13 1   5493.2  141.8  11.405
   10    1    8 1   1171.8   31.6  11.401
   11    3    3 1   1754.3   40.0  11.394
    8    6    5 1    944.5   32.5  11.392
    6    0   12 1   1277.9   51.8  11.390
    9    6    1 1   2403.7   50.1  11.378
   12    2    0 1   3451.4   96.1  11.376
   12    1    4 1   2955.7   56.1  11.374
    3    1   13 1   2081.3   44.6  11.372
    8    4    8 1   3753.6   72.7  11.368
    4    3   12 1   3490.8   69.5  11.357
    8    7    2 1   2612.9   54.0  11.351
   13    0    2 1    632.9   38.2  11.351
   10    3    6 2    969.7   29.1  11.347
   12    2    1 1   6298.4  115.9  11.345
    7    6    7 1   2369.8   53.0  11.339
    7    3   10 1   1965.5   44.4  11.338
    8    3    9 1   1448.4   37.4  11.335
    9    5    5 1   2098.0   47.1  11.293
    5    2   12 1   3709.2   74.1  11.292
    9    6    2 1   2927.8   61.2  11.286
    5    4   11 1   3832.7   76.1  11.281
   10    5    0 1   2094.0   64.9  11.278
    4    0   13 1   6997.5  186.1  11.274
    8    5    7 1   2051.9   44.7  11.274
    9    0   10 1    555.5   42.6  11.273
   12    2    2 1   2521.9   53.1  11.254
   10    5    1 1   2135.2   42.8  11.248
   10    0    9 1    534.2   41.4  11.238
    6    3   11 1   1727.6   41.2  11.217
    9    3    8 1   1603.3   33.9  11.206
