   10    7    0 1    273.6    7.7  10.260
   12    2    1 1   3819.0   40.6  10.256
    9    8    2 1   2140.4   29.4  10.245
   12    1    2 1   2636.1   30.0  10.245
   11    1    5 1   3233.7   31.2  10.237
    4    0   11 1   2213.3   34.5  10.227
   10    7    1 1    893.3   12.6  10.222
   11    5    2 2    734.8    9.0  10.211
    6    5    9 2   2980.2   36.9  10.203
    6    2   10 1   3332.9   44.4  10.202
    8    4    8 1   2536.9   27.2  10.197
    4    1   11 1   1367.0   14.2  10.193
    9    4    7 1   2068.7   24.3  10.184
    5    4   10 1   2289.1   23.8  10.168
    9    0    8 1    747.8   14.5  10.163
    3    3   11 1   5481.5   89.0  10.160
    7    7    7 1   4023.2   65.9  10.150
   12    2    2 1    982.0   11.2  10.144
   11    2    5 1   3748.5   36.9  10.136
   10    5    5 1    332.9    5.2  10.136
    8    7    6 1   2324.2   25.8  10.130
    9    1    8 1   1330.4   15.6  10.130
   12    3    0 1   2282.1   33.9  10.125
   10    7    2 1    694.3    9.8  10.111
    8    0    9 1   1576.4   25.0  10.103
   10    6    4 1   3107.6   35.2  10.102
   12    0    3 1    932.8   15.4  10.093
    4    2   11 1   2512.3   28.3  10.093
   12    3    1 1   2641.2   30.0  10.089
   10    0    7 1   4361.7   71.4  10.084
    8    6    7 1   2639.9   30.9  10.084
    8    1    9 1   3783.1   41.1  10.070
    7    4    9 1   2681.7   31.2  10.070
   11    4    4 1    621.5    6.7  10.069
   12    1    3 1   1615.2   17.7  10.061
    9    8    3 1   2664.4   36.2  10.061
   10    1    7 1   3376.0   35.9  10.051
    8    8    5 1   1893.2   31.9  10.038
    6    3   10 1    885.8   11.5  10.036
   10    4    6 1   2967.5   34.5  10.032
    9    2    8 1   5968.7   62.8  10.032
    7    6    8 1   1338.2   16.1  10.032
   11    5    3 1   3360.7   34.9  10.028
    9    6    6 1   1654.4   21.2  10.000
   11    6    0 1   3535.4   58.2   9.995
   12    3    2 1   2409.6   25.9   9.982
    9    7    5 1   1010.5   12.4   9.974
   11    3    5 1   3477.1   35.1   9.974
    8    2    9 1   4140.5   47.8   9.974
   12    2    3 1    885.9    9.8   9.965
   11    6    1 1    683.3   10.0   9.960
   10    2    7 1   5223.2   52.3   9.956
   10    7    3 1   1157.1   14.8   9.933
    4    3   11 1   3192.1   32.1   9.933
    5    0   11 1   3304.6   48.3   9.933
    0    0   12 1   2276.2   61.1   9.919
    7    0   10 1   1925.7   28.5   9.910
    8    5    8 1   4513.0   53.7   9.906
    5    1   11 1   4300.9   48.0   9.902
   12    4    0 1   2312.2   34.4   9.901
    9    5    7 1   3867.9   43.3   9.893
    1    0   12 1   1286.8   17.6   9.888
    5    5   10 1   1772.0   29.5   9.879
    7    1   10 1   5303.9   57.4   9.879
   11    0    6 1   4151.1   60.8   9.875
    9    3    8 1   3746.8   38.6   9.875
   12    4    1 1   1591.7   17.5   9.867
   11    6    2 1   2542.1   31.0   9.857
    1    1   12 1   1204.1   19.2   9.857
    6    6    9 1   4168.1   72.6   9.850
