    4    8    5 1     303.000   7.731
    1    2   13 1     302.100   7.701
    5    8    0 1     513.000   7.697
    5    5    8 1     128.100   7.696
    5    7    5 1     552.700   7.689
    5    8    1 1     128.500   7.676
    7    4    3 1     242.500   7.674
    2   10    2 1     214.900   7.674
    0   10    4 1     141.000   7.670
    4    9    0 1     182.200   7.669
    0    6   11 1     713.600   7.668
    5    2   10 1     498.000   7.663
    0    7   10 1     205.200   7.661
    3    8    7 1     387.900   7.659
    7    0    6 1     188.800   7.658
    2    9    6 2      14.300   7.656
    2    8    8 1     290.500   7.653
    2    0   13 2      99.400   7.652
    5    4    9 1     100.400   7.648
    4    9    1 1     277.700   7.648
    6    6    4 1     247.100   7.644
    6    4    7 1     304.300   7.639
    5    6    7 1     210.900   7.632
    0    9    7 1      84.800   7.631
    2    4   12 1     303.100   7.626
    7    1    6 1     199.700   7.624
    2    1   13 1     234.800   7.617
    5    8    2 1     137.100   7.613
    1   10    4 1     345.000   7.608
    4    3   11 1     191.000   7.607
    1    6   11 1     188.100   7.606
    6    5    6 1     249.500   7.602
    1    7   10 1     327.700   7.600
    0    3   13 1      23.900   7.590
    4    9    2 1     185.300   7.585
    7    3    5 1     263.900   7.580
    3    9    5 1     132.300   7.578
    2   10    3 1     161.200   7.569
    1    9    7 1      82.700   7.569
    6    3    8 1     408.100   7.566
    0    5   12 1     474.800   7.565
    3    3   12 1     606.600   7.558
    7    5    0 1      17.100   7.554
    3    6   10 1     322.400   7.553
    0    8    9 1     375.700   7.545
    7    5    1 1     237.900   7.534
    6    7    0 1     127.500   7.534
    1    3   13 1     171.100   7.530
    7    4    4 1     186.300   7.529
    7    2    6 1     271.000   7.523
    6    0    9 1     279.800   7.521
    4    6    9 1     314.800   7.520
    2    2   13 1      91.000   7.517
    6    7    1 1     361.200   7.514
    5    8    3 1     185.000   7.511
    3    7    9 1      49.600   7.506
    1    5   12 1     371.800   7.505
    4    8    6 1     198.500   7.501
    4    5   10 1     191.400   7.500
    5    3   10 1     253.700   7.494
    3    5   11 1      72.400   7.493
    8    0    0 1      18.700   7.489
    6    1    9 1     212.800   7.488
    1    8    9 1     554.700   7.486
    0   10    5 1     353.700   7.485
    4    9    3 1     191.000   7.484
    7    5    2 1     271.100   7.474
    8    0    1 1     656.500   7.469
    5    7    6 1     259.700   7.463
    6    6    5 1     456.300   7.461
    8    1    0 1     621.600   7.457
    3   10    0 1     178.100   7.454
    6    7    2 1     149.200   7.454
    4    0   12 1     399.600   7.441
    8    1    1 1     136.200   7.437
    3   10    1 1      72.100   7.435
    4    7    8 1      15.100   7.434
    2   10    4 1     275.500   7.430
    2    6   11 1     303.000   7.429
    1   10    5 1     248.300   7.427
    2    7   10 1      59.900   7.423
    8    0    2 1      70.000   7.411
    4    1   12 1     136.400   7.409
    7    0    7 1     284.100   7.396
    2    9    7 1     218.800   7.394
    6    2    9 1     364.700   7.392
    8    1    2 1     307.200   7.380
    4    4   11 1     256.400   7.379
    7    5    3 1     282.900   7.378
    3   10    2 1     125.200   7.377
    5    8    4 2     316.800   7.374
    5    0   11 0       0.000   7.373
    7    1    7 1     298.400   7.365
    0    4   13 1     337.900   7.363
    7    3    6 1     127.900   7.363
    8    2    0 1      20.400   7.362
    3    9    6 1     316.500   7.361
    3    8    8 1      75.500   7.359
    6    7    3 1     143.900   7.358
    3    0   13 1     233.200   7.358
    2    3   13 1     321.300   7.357
    5    5    9 1     139.600   7.354
    7    4    5 1       9.400   7.354
    4    9    4 1     345.200   7.349
    0    0   14 1     977.300   7.349
    6    5    7 1     330.600   7.346
    8    2    1 2     144.200   7.344
    5    1   11 1     275.800   7.342
    6    4    8 2     191.100   7.342
    5    6    8 1      56.100   7.335
    3    4   12 1     174.000   7.335
    2    5   12 1     333.200   7.334
    0    9    8 1      27.500   7.334
    3    1   13 1     137.200   7.327
    0    1   14 1     261.600   7.318
    8    0    3 1      47.700   7.317
    2    8    9 1     315.300   7.317
    4    2   12 1     395.700   7.317
    1    4   13 1     265.900   7.308
    0   11    0 0       0.000   7.305
    1    0   14 1     142.000   7.294
    8    2    2 2     271.400   7.288
    8    1    3 1     281.300   7.287
    0   11    1 1     254.200   7.286
    3   10    3 1     327.000   7.284
